dataset,episode_id,failure_class,T,tau,horizon,det_esn,det_maha,det_logistic
sim,test-0496,context_corruption,49,28,20,True,False,True
sim,test-0497,context_corruption,48,32,15,True,True,True
sim,test-0498,context_corruption,29,8,20,True,True,True
sim,test-0499,context_corruption,43,24,18,True,True,True
sim,test-0500,context_corruption,57,38,18,True,False,True
sim,test-0501,context_corruption,21,11,9,True,True,True
sim,test-0502,context_corruption,40,27,12,True,True,True
sim,test-0503,context_corruption,29,14,14,True,False,True
sim,test-0504,context_corruption,29,15,13,True,True,True
sim,test-0505,context_corruption,31,19,11,True,True,True
sim,test-0506,context_corruption,29,12,16,True,False,True
sim,test-0507,context_corruption,37,24,12,True,False,True
sim,test-0508,context_corruption,31,13,17,True,True,True
sim,test-0509,context_corruption,48,37,10,False,False,False
sim,test-0510,context_corruption,43,25,17,True,True,True
sim,test-0511,context_corruption,44,31,12,True,False,True
sim,test-0512,context_corruption,31,15,15,True,True,True
sim,test-0513,context_corruption,41,32,8,True,True,True
sim,test-0514,context_corruption,32,20,11,True,False,True
sim,test-0515,context_corruption,40,29,10,True,True,True
sim,test-0516,context_corruption,42,21,20,True,False,True
sim,test-0517,context_corruption,41,20,20,True,False,True
sim,test-0518,context_corruption,35,18,16,True,True,True
sim,test-0519,context_corruption,44,27,16,True,True,True
sim,test-0520,context_corruption,49,29,19,True,True,True
sim,test-0521,context_corruption,38,22,15,True,True,True
sim,test-0522,context_corruption,46,25,20,True,False,True
sim,test-0523,context_corruption,30,19,10,True,True,True
sim,test-0524,context_corruption,42,21,20,True,False,True
sim,test-0525,context_corruption,26,16,9,True,False,True
sim,test-0526,context_corruption,44,23,20,True,False,True
sim,test-0527,context_corruption,36,19,16,True,True,True
sim,test-0528,context_corruption,42,21,20,False,False,True
sim,test-0529,context_corruption,38,21,16,True,False,True
sim,test-0530,context_corruption,35,16,18,True,True,True
sim,test-0531,context_corruption,31,17,13,True,False,True
sim,test-0532,context_corruption,40,19,20,True,False,True
sim,test-0533,context_corruption,34,13,20,True,True,True
sim,test-0534,context_corruption,24,10,13,True,True,True
sim,test-0535,context_corruption,32,17,14,True,True,True
sim,test-0536,context_corruption,37,19,17,True,True,True
sim,test-0537,context_corruption,49,30,18,True,False,True
sim,test-0538,context_corruption,32,18,13,True,False,True
sim,test-0539,context_corruption,34,15,18,True,True,True
sim,test-0540,context_corruption,26,11,14,True,False,True
sim,test-0541,context_corruption,33,22,10,True,True,True
sim,test-0542,context_corruption,27,14,12,True,True,True
sim,test-0543,context_corruption,30,20,9,True,True,True
sim,test-0544,context_corruption,29,17,11,True,True,True
sim,test-0545,context_corruption,41,23,17,True,True,True
sim,test-0546,context_corruption,45,29,15,True,False,True
sim,test-0547,context_corruption,46,28,17,True,False,True
sim,test-0548,context_corruption,45,36,8,True,True,True
sim,test-0549,context_corruption,20,9,10,True,True,True
