replicate,episode_auc.esn_cusum_max,detection_rate.esn_cusum_max,healthy_fa_rate.esn_cusum_max,mean_lead_all.esn_cusum_max,det[goal_drift].esn_cusum_max,episode_auc.hmt_single,detection_rate.hmt_single,healthy_fa_rate.hmt_single,mean_lead_all.hmt_single,det[goal_drift].hmt_single,episode_auc.hmt_mt,detection_rate.hmt_mt,healthy_fa_rate.hmt_mt,mean_lead_all.hmt_mt,det[goal_drift].hmt_mt,episode_auc.hmt_h,detection_rate.hmt_h,healthy_fa_rate.hmt_h,mean_lead_all.hmt_h,det[goal_drift].hmt_h,episode_auc.hmt_full,detection_rate.hmt_full,healthy_fa_rate.hmt_full,mean_lead_all.hmt_full,det[goal_drift].hmt_full,episode_auc.single_fast,detection_rate.single_fast,healthy_fa_rate.single_fast,mean_lead_all.single_fast,det[goal_drift].single_fast
38,0.7362329434697856,0.39766081871345027,0.125,0.28654970760233917,0.0,0.7336744639376218,0.40350877192982454,0.125,0.28654970760233917,0.045454545454545456,0.7322124756335282,0.4619883040935672,0.125,0.36257309941520466,0.0,0.7424463937621832,0.39766081871345027,0.125,0.28654970760233917,0.0,0.7402534113060428,0.4619883040935672,0.125,0.36257309941520466,0.0,0.768884015594542,0.4853801169590643,0.125,0.34502923976608185,0.0
39,0.7955653021442495,0.30409356725146197,0.041666666666666664,0.3157894736842105,0.0,0.7753411306042886,0.30409356725146197,0.041666666666666664,0.30409356725146197,0.0,0.8079922027290448,0.4152046783625731,0.041666666666666664,0.3157894736842105,0.0,0.746832358674464,0.3216374269005848,0.041666666666666664,0.3157894736842105,0.0,0.7794834307992201,0.4152046783625731,0.041666666666666664,0.3157894736842105,0.0,0.7916666666666666,0.2807017543859649,0.0,0.2046783625730994,0.0
40,0.7665692007797271,0.391812865497076,0.041666666666666664,0.24561403508771928,0.13636363636363635,0.7892300194931774,0.36257309941520466,0.041666666666666664,0.25146198830409355,0.09090909090909091,0.8053118908382065,0.4502923976608187,0.08333333333333333,0.28654970760233917,0.13636363636363635,0.7724171539961013,0.38011695906432746,0.08333333333333333,0.24561403508771928,0.13636363636363635,0.8079922027290448,0.4502923976608187,0.08333333333333333,0.28654970760233917,0.13636363636363635,0.8001949317738791,0.47368421052631576,0.125,0.3216374269005848,0.13636363636363635
41,0.783625730994152,0.5555555555555556,0.125,0.4327485380116959,0.18181818181818182,0.7994639376218323,0.5730994152046783,0.08333333333333333,0.4444444444444444,0.22727272727272727,0.8021442495126705,0.5672514619883041,0.08333333333333333,0.4093567251461988,0.18181818181818182,0.7909356725146198,0.5847953216374269,0.125,0.45614035087719296,0.18181818181818182,0.8269980506822612,0.6081871345029239,0.125,0.5847953216374269,0.3181818181818182,0.8084795321637427,0.5614035087719298,0.125,0.40350877192982454,0.18181818181818182
42,0.7531676413255359,0.28654970760233917,0.0,0.017543859649122806,0.0,0.7517056530214424,0.29239766081871343,0.0,0.023391812865497075,0.0,0.7524366471734892,0.3391812865497076,0.08333333333333333,0.14035087719298245,0.045454545454545456,0.7208820662768031,0.2982456140350877,0.0,0.08771929824561403,0.045454545454545456,0.7378167641325536,0.3567251461988304,0.08333333333333333,0.14035087719298245,0.045454545454545456,0.7504873294346978,0.3742690058479532,0.08333333333333333,0.21052631578947367,0.18181818181818182
43,0.7746101364522417,0.3216374269005848,0.0,0.14619883040935672,0.0,0.7514619883040935,0.24561403508771928,0.0,0.14035087719298245,0.0,0.7509746588693956,0.40350877192982454,0.0,0.23391812865497075,0.0,0.7239278752436648,0.4502923976608187,0.041666666666666664,0.4444444444444444,0.0,0.7439083820662767,0.40350877192982454,0.0,0.3391812865497076,0.0,0.7356237816764132,0.4269005847953216,0.041666666666666664,0.19883040935672514,0.0
44,0.7919103313840156,0.5789473684210527,0.08333333333333333,0.8304093567251462,0.2727272727272727,0.7984892787524365,0.5789473684210527,0.08333333333333333,0.8304093567251462,0.2727272727272727,0.8001949317738791,0.5847953216374269,0.08333333333333333,0.8421052631578947,0.2727272727272727,0.8026315789473683,0.6081871345029239,0.125,0.847953216374269,0.3181818181818182,0.7945906432748537,0.5964912280701754,0.08333333333333333,0.9181286549707602,0.2727272727272727,0.8155458089668616,0.543859649122807,0.08333333333333333,0.783625730994152,0.09090909090909091
45,0.81359649122807,0.38596491228070173,0.0,0.5029239766081871,0.0,0.7992202729044834,0.38011695906432746,0.0,0.5087719298245614,0.0,0.8150584795321637,0.3742690058479532,0.0,0.4853801169590643,0.0,0.7962962962962963,0.38596491228070173,0.0,0.3157894736842105,0.045454545454545456,0.8182261208576997,0.3742690058479532,0.0,0.49122807017543857,0.0,0.8489278752436646,0.2982456140350877,0.0,0.21052631578947367,0.0
46,0.7573099415204678,0.5789473684210527,0.20833333333333334,0.8304093567251462,0.2727272727272727,0.7541423001949319,0.5730994152046783,0.20833333333333334,0.7894736842105263,0.2727272727272727,0.7711988304093567,0.5730994152046783,0.16666666666666666,0.8538011695906432,0.2727272727272727,0.7560916179337231,0.5789473684210527,0.20833333333333334,0.8421052631578947,0.2727272727272727,0.7714424951267057,0.5847953216374269,0.20833333333333334,0.8654970760233918,0.2727272727272727,0.7743664717348926,0.5906432748538012,0.20833333333333334,0.847953216374269,0.22727272727272727
47,0.8001949317738791,0.38011695906432746,0.0,0.2046783625730994,0.045454545454545456,0.793859649122807,0.3742690058479532,0.0,0.2046783625730994,0.045454545454545456,0.794103313840156,0.391812865497076,0.0,0.21637426900584794,0.0,0.7931286549707602,0.39766081871345027,0.08333333333333333,0.23976608187134502,0.045454545454545456,0.793615984405458,0.40350877192982454,0.0,0.21637426900584794,0.0,0.7858187134502924,0.3742690058479532,0.041666666666666664,0.2046783625730994,0.0
